Round,a\b,G,C,P
,G,4,9,24
,C,7,1,1
,P,25,28,1

Round 264
,G,5,8,19
,C,15,6,20
,P,19,5,3

Round 265
,G,4,5,27
,C,3,3,1
,P,28,25,4

Round 266
,G,0,1,32
,C,1,2,31
,P,31,0,2

Round 267
,G,6,2,25
,C,4,1,2
,P,28,31,1

Round 268
,G,2,5,19
,C,8,8,25
,P,30,2,1

Round 269
,G,0,0,33
,C,1,1,0
,P,33,32,0

Round 270
,G,4,8,15
,C,11,6,22
,P,20,7,7

Round 271
,G,2,0,31
,C,1,1,0
,P,32,32,1

Round 272
,G,2,9,17
,C,11,7,22
,P,20,9,3

Round 273
,G,3,6,25
,C,4,6,5
,P,23,27,1

Round 274
,G,6,4,23
,C,2,3,31
,P,30,1,0

Round 275
,G,0,3,31
,C,0,2,2
,P,31,31,0

Round 276
,G,1,2,27
,C,5,5,28
,P,29,2,1

Round 277
,G,3,1,29
,C,1,2,1
,P,29,32,2

Round 278
,G,3,5,27
,C,4,2,29
,P,26,0,4

Round 279
,G,2,11,19
,C,10,9,2
,P,16,24,7

Round 280
,G,2,6,26
,C,5,1,32
,P,28,0,0

Round 281
,G,3,9,26
,C,3,5,2
,P,23,27,2

Round 282
,G,6,11,8
,C,15,14,14
,P,16,11,5

Round 283
,G,2,6,26
,C,5,2,3
,P,23,30,3

Round 284
,G,0,7,19
,C,6,8,21
,P,25,10,4

Round 285
,G,3,11,18
,C,12,12,14
,P,9,15,6

Round 286
,G,4,7,18
,C,4,9,22
,P,23,9,4

Round 287
,G,1,21,32
,C,7,27,3
,P,1,8,0

Round 288
,G,3,3,16
,C,9,6,25
,P,27,10,1

Round 289
,G,0,7,23
,C,9,1,3
,P,20,30,7

Round 290
,G,0,4,28
,C,3,0,31
,P,31,2,1

Round 291
,G,1,1,30
,C,4,4,1
,P,26,31,2

Round 292
,G,1,4,21
,C,8,7,22
,P,26,9,2

Round 293
,G,1,6,25
,C,3,4,9
,P,24,26,2

Round 294
,G,6,9,1
,C,19,27,5
,P,16,15,2

Round 295
,G,3,15,16
,C,7,16,11
,P,12,16,4

Round 296
,G,1,7,7
,C,19,15,11
,P,16,18,6

Round 297
,G,1,7,21
,C,8,9,9
,P,17,25,3

Round 298
,G,3,5,19
,C,12,5,25
,P,21,10,0

Round 299
,G,1,12,29
,C,4,6,8
,P,18,20,2

Round 300
,G,1,4,13
,C,7,12,25
,P,19,18,1

Round 301
,G,2,6,23
,C,3,8,9
,P,23,23,3

Round 302
,G,4,0,30
,C,0,0,33
,P,30,0,3

Round 303
,G,2,2,27
,C,2,0,2
,P,29,29,7

Round 304
,G,2,3,26
,C,4,5,25
,P,31,1,3

Round 305
,G,3,0,28
,C,1,0,0
,P,33,31,4

Round 306
,G,2,1,31
,C,1,0,32
,P,29,1,3

Round 307
,G,0,3,31
,C,1,0,2
,P,29,32,2

Round 308
,G,3,0,28
,C,3,0,30
,P,27,3,6

Round 309
,G,1,2,32
,C,0,0,0
,P,30,32,3

Round 310
,G,2,1,26
,C,3,3,28
,P,24,6,7

Round 311
,G,0,1,32
,C,1,0,0
,P,32,32,2

Round 312
,G,3,3,25
,C,5,2,28
,P,30,0,4

Round 313
,G,1,1,30
,C,0,0,0
,P,32,32,4

Round 314
,G,2,0,32
,C,0,0,33
,P,30,0,3

Round 315
,G,1,0,30
,C,0,1,0
,P,31,33,4

Round 316
,G,1,1,31
,C,1,0,33
,P,32,0,1

Round 317
,G,2,1,31
,C,1,2,0
,P,29,32,2

Round 318
,G,2,5,21
,C,3,4,28
,P,27,5,5

Round 319
,G,3,5,26
,C,2,1,3
,P,25,30,5

Round 320
,G,1,1,29
,C,3,2,30
,P,32,0,2

Round 321
,G,2,2,32
,C,0,2,0
,P,30,30,2

Round 322
,G,3,3,29
,C,3,1,30
,P,29,1,1

Round 323
,G,0,4,33
,C,3,0,0
,P,27,31,2

Round 324
,G,7,1,29
,C,4,1,27
,P,28,2,1

Round 325
,G,3,13,25
,C,2,4,3
,P,22,27,1

Round 326
,G,3,1,27
,C,3,3,31
,P,29,1,2

Round 327
,G,2,17,25
,C,1,7,6
,P,17,20,5

Round 328
,G,1,2,29
,C,7,0,27
,P,29,1,4

Round 329
,G,0,9,33
,C,3,1,2
,P,22,26,4

Round 330
,G,1,3,24
,C,5,4,27
,P,32,2,2

Round 331
,G,2,2,28
,C,2,1,3
,P,28,29,5

Round 332
,G,2,2,27
,C,5,2,29
,P,30,2,1

Round 333
,G,2,3,30
,C,2,0,1
,P,29,30,3

Round 334
,G,0,1,32
,C,2,0,32
,P,32,1,0

Round 335
,G,2,2,29
,C,1,0,1
,P,35,30,0

Round 336
,G,1,0,29
,C,5,3,27
,P,29,1,5

Round 337
,G,2,5,24
,C,3,3,2
,P,29,26,6

Round 338
,G,2,2,30
,C,1,2,30
,P,30,1,2

Round 339
,G,1,2,28
,C,3,2,2
,P,30,31,1

Round 340
,G,2,0,31
,C,0,1,32
,P,32,1,1

Round 341
,G,0,6,31
,C,1,4,3
,P,26,27,2

Round 342
,G,1,0,29
,C,6,0,30
,P,30,1,3

Round 343
,G,1,13,25
,C,1,4,8
,P,20,25,3

Round 344
,G,0,1,31
,C,2,0,31
,P,34,1,0

Round 345
,G,1,1,33
,C,1,0,1
,P,31,30,2

Round 346
,G,2,4,26
,C,2,1,30
,P,29,4,2

Round 347
,G,1,0,32
,C,0,0,1
,P,32,34,0

Round 348
,G,3,1,30
,C,2,0,31
,P,29,3,1

Round 349
,G,1,9,28
,C,1,2,7
,P,24,26,2

Round 350
,G,1,1,31
,C,17,0,17
,P,32,1,0

Round 351
,G,1,17,31
,C,0,0,1
,P,33,16,1

Round 352
,G,4,2,28
,C,4,0,29
,P,27,2,4

Round 353
,G,1,12,28
,C,2,4,4
,P,18,25,6

Round 354
,G,3,1,30
,C,17,0,16
,P,28,1,4

Round 355
,G,4,15,29
,C,0,0,1
,P,31,17,3

Round 356
,G,3,0,31
,C,14,0,18
,P,27,5,2

Round 357
,G,4,16,28
,C,0,0,1
,P,25,20,6

Round 358
,G,2,1,29
,C,14,0,20
,P,29,3,2

Round 359
,G,1,17,30
,C,1,0,1
,P,32,18,0

Round 360
,G,3,1,30
,C,15,0,18
,P,30,2,1

Round 361
,G,5,18,26
,C,1,1,2
,P,23,16,8

Round 362
,G,1,2,31
,C,12,1,20
,P,29,1,3

Round 363
,G,4,16,28
,C,0,0,0
,P,33,18,1

Round 364
,G,5,3,30
,C,12,1,18
,P,25,4,2

Round 365
,G,5,15,27
,C,0,0,1
,P,29,20,3

Round 366
,G,4,1,29
,C,13,2,19
,P,30,2,0

Round 367
,G,2,15,30
,C,0,0,1
,P,32,19,1

Round 368
,G,1,0,33
,C,15,0,18
,P,31,1,1

Round 369
,G,2,14,30
,C,0,0,2
,P,33,18,1

Round 370
,G,2,3,25
,C,12,4,19
,P,27,3,5

Round 371
,G,1,12,26
,C,2,0,2
,P,31,20,6

Round 372
,G,1,3,26
,C,11,3,20
,P,25,2,9

Round 373
,G,4,11,25
,C,1,1,2
,P,31,20,5

Round 374
,G,2,1,30
,C,14,0,19
,P,30,2,2

Round 375
,G,2,14,27
,C,0,0,0
,P,32,19,6

Round 376
