Round,a\b,G,C,P

Round 407
,G,0,0,14
,C,5,6,11
,P,40,23,1

Round 408
,G,1,0,14
,C,2,2,15
,P,36,30,0

Round 409
,G,0,0,27
,C,3,1,4
,P,59,6,0

Round 410
,G,2,1,11
,C,10,9,8
,P,37,21,1

Round 411
,G,0,0,14
,C,2,2,16
,P,32,30,4

Round 412
,G,0,0,13
,C,7,7,9
,P,32,22,10

Round 413
,G,1,0,10
,C,4,5,18
,P,32,20,10

Round 414
,G,1,0,3
,C,6,5,24
,P,30,24,7

Round 415
,G,2,1,10
,C,8,3,13
,P,29,24,10

Round 416
,G,0,0,11
,C,9,9,9
,P,32,20,10

Round 417
,G,0,0,9
,C,5,2,14
,P,32,28,10

Round 418
,G,1,1,3
,C,9,4,20
,P,30,22,10

Round 419
,G,0,0,0
,C,0,0,32
,P,33,35,0

Round 420
,G,1,0,14
,C,2,1,16
,P,33,31,2

Round 421
,G,2,0,9
,C,6,2,17
,P,37,22,5

Round 422
,G,1,0,2
,C,1,0,30
,P,35,30,1

Round 423
