Round,a\b,G,C,P
,G,1,1,11
,C,4,0,23
,P,35,13,12

Round 396
,G,0,0,21
,C,15,1,14
,P,36,8,5

Round 397
,G,0,0,13
,C,1,1,24
,P,36,14,11

Round 398
,G,3,0,16
,C,16,5,13
,P,33,12,2

Round 399
,G,3,1,17
,C,11,5,15
,P,34,11,3

Round 400
,G,2,0,5
,C,10,1,32
,P,27,20,3

Round 401
,G,2,0,44
,C,1,0,0
,P,48,0,5

Round 402
,G,3,1,29
,C,1,0,12
,P,50,2,2

Round 403
,G,2,1,13
,C,2,1,21
,P,54,3,3

Round 404
,G,1,2,27
,C,1,2,14
,P,45,7,1

Round 405
,G,0,0,8
,C,1,2,27
,P,59,1,2

Round 406
,G,4,1,42
,C,1,2,1
,P,46,2,1

Round 407
,G,2,3,37
,C,8,0,2
,P,41,2,5

Round 408
,G,1,2,17
,C,3,1,18
,P,56,0,2

Round 409
,G,4,0,41
,C,3,1,3
,P,45,1,2

Round 410
,G,2,2,37
,C,3,1,4
,P,44,5,2

Round 411
,G,3,1,42
,C,2,0,3
,P,47,2,0

Round 412
,G,2,1,5
,C,2,0,26
,P,58,1,5

Round 413
,G,1,2,43
,C,2,0,1
,P,47,1,3

Round 414
,G,0,2,39
,C,2,2,3
,P,46,3,3

Round 415
,G,0,0,34
,C,3,1,7
,P,52,0,3

Round 416
,G,4,2,41
,C,1,1,2
,P,46,3,0

Round 417
,G,1,1,41
,C,1,0,4
,P,51,1,0

Round 418
,G,2,2,42
,C,3,0,1
,P,46,1,3

Round 419
,G,2,1,44
,C,1,0,1
,P,48,1,2

Round 420
,G,1,2,45
,C,0,1,2
,P,46,2,1

Round 421
,G,1,0,44
,C,1,1,2
,P,46,2,3

Round 422
,G,0,0,48
,C,1,1,0
,P,49,0,1

Round 423
