Round,a\b,G,C,P
,P,13,16,7

Round 288
,G,0,18,7
,C,10,16,12
,P,4,19,14

Round 289
,G,0,25,1
,C,4,20,2
,P,11,25,12

Round 290
,G,0,24,2
,C,2,22,1
,P,12,25,12

Round 291
,G,0,18,2
,C,3,14,1
,P,4,39,19

Round 292
,G,0,19,0
,C,0,15,2
,P,2,37,25

Round 293
,G,0,18,1
,C,0,17,0
,P,0,42,22

Round 294
,G,0,13,2
,C,1,10,2
,P,3,51,18

Round 295
,G,0,13,7
,C,5,7,1
,P,3,41,23

Round 296
,G,0,14,0
,C,1,12,0
,P,1,55,17

Round 297
,G,1,16,1
,C,0,14,1
,P,3,48,16

Round 298
,G,0,15,0
,C,0,13,1
,P,1,53,17

Round 299
,G,1,11,6
,C,0,9,6
,P,5,36,26

Round 300
,G,1,13,0
,C,0,11,1
,P,0,57,17

Round 301
,G,1,6,3
,C,2,9,8
,P,7,46,18

Round 302
,G,0,8,5
,C,3,7,9
,P,8,44,16

Round 303
,G,2,6,11
,C,2,8,11
,P,4,36,20

Round 304
,G,4,14,0
,C,6,13,11
,P,6,38,8

Round 305
,G,0,12,0
,C,4,18,12
,P,18,36,0

Round 306
,G,0,7,4
,C,5,17,10
,P,7,36,14

Round 307
,G,1,5,7
,C,2,14,7
,P,12,42,10

Round 308
,G,0,13,0
,C,7,14,12
,P,9,40,5

Round 309
,G,3,9,2
,C,3,15,9
,P,8,39,12

Round 310
,G,1,6,7
,C,2,16,13
,P,9,34,12

Round 311
,G,0,10,0
,C,6,16,17
,P,6,39,6

Round 312
,G,0,17,0
,C,15,0,18
,P,0,50,0

Round 313
,G,0,13,1
,C,14,6,12
,P,3,44,7

Round 314
,G,0,14,1
,C,13,8,12
,P,3,45,4

Round 315
,G,0,8,0
,C,9,12,13
,P,0,41,17

Round 316
,G,6,13,1
,C,7,14,8
,P,3,41,7

Round 317
,G,1,14,1
,C,13,4,16
,P,0,48,3

Round 318
,G,0,11,0
